Bus Name ,x,y
n1,42.6868717,-75.5039062
n2,42.6871714,-75.5039102
n3,42.6874099,-75.5038619
n031,42.6873321,-75.50411
n4,42.6875203,-75.503418
n041,42.6878871,-75.503764
n042,42.6881167,-75.5031726
n6,42.6876406,-75.5029137
n8,42.6877589,-75.5024256
n9,42.6876465,-75.5023773
n092,42.687752,-75.5016585
n093,42.6878299,-75.5009852
n10,42.6873449,-75.5022794
n11,42.6870935,-75.5021855
n12,42.6867948,-75.5020367
n13,42.686571,-75.5019482
n14,42.6863186,-75.5018864
n15,42.6859509,-75.5017591
n16,42.6856996,-75.5016692
n17,42.6854472,-75.501574
n18,42.6851376,-75.5014506
n19,42.6848853,-75.5013647
n20,42.6846191,-75.5012669
n21,42.6843421,-75.5011502
n0211,42.6843963,-75.5008377
n02115,42.68445,-75.50055
n0212,42.6845018,-75.5003536
n22,42.6840985,-75.5010684
n23,42.683789,-75.5009598
n24,42.6836609,-75.5009061
n25,42.683509,-75.5008484
n26,42.6832389,-75.5007519
n27,42.6829342,-75.5006406
n28,42.682676,-75.5005333
n29,42.6823792,-75.5004314
n30,42.6822017,-75.500367
n0301,42.6822116,-75.5002972
n0302,42.6823368,-75.4997635
n31,42.6821514,-75.5003496
n32,42.6817295,-75.5001913
n33,42.6812908,-75.500025
n34,42.6808954,-75.4998734
n35,42.6805898,-75.4997621
n37,42.6803542,-75.4996764
n38,42.6801855,-75.4996066
n39,42.6799638,-75.4995047
n40,42.6797134,-75.4994296
n41,42.6794471,-75.4993129
n42,42.6791918,-75.4992217
n43,42.678894,-75.4991157
n44,42.6787215,-75.4990473
n45,42.6785273,-75.4989629
n46,42.678335,-75.4988797
n48,42.6778696,-75.4987
n0485,42.6776734,-75.4986249
n49,42.6775847,-75.4985753
n50,42.6773254,-75.4984787
n51,42.6769921,-75.4983231
n0511,42.6768728,-75.4984935
n52,42.6767821,-75.4982346
n53,42.6764725,-75.4980965
n54,42.6762773,-75.498012
n55,42.6760683,-75.4979208
n56,42.6758001,-75.4978229
n57,42.6754994,-75.4976982
n58,42.6752765,-75.497603
n59,42.6750044,-75.4974984
n60,42.674678,-75.4973643
n61,42.6743665,-75.4972328
n62,42.6740243,-75.4970786
n64,42.6735777,-75.4968882
n65,42.6732779,-75.496746
n66,42.6731596,-75.4966816
n67,42.6726232,-75.4963879
n0675,42.6724654,-75.4963034
n06751,42.6723806,-75.4966253
n68,42.6723284,-75.4962216
n0681,42.6721943,-75.4964885
n06811,42.6720533,-75.4969901
n0682,42.6722998,-75.4968211
n0683,42.6725729,-75.4956946
n06831,42.6729841,-75.4959306
n06832,42.6728312,-75.4961586
n06833,42.6734751,-75.4960808
n69,42.6718521,-75.4959668
n0691,42.6717703,-75.4962672
n70,42.6716016,-75.4958233
n71,42.6712536,-75.4956168
n72,42.670941,-75.4954183
n73,42.670658,-75.4952466
n74,42.6704292,-75.4951032
n0741,42.6705505,-75.4956396
n75,42.6699007,-75.4947343
n76,42.6696423,-75.4945533
n0761,42.6698632,-75.4939485
n77,42.6693307,-75.494324
n78,42.6690497,-75.4941
n79,42.6687391,-75.4938211
n0791,42.6686129,-75.4942945
n0792,42.6685567,-75.4944661
n80,42.6683792,-75.4935166
